Time,Rotifer,Flagellate,Algae
0,0.18396077762795526,0.16406028011551754,0.8904284393194977
2,0.2559993387165931,0.554509384541467,0.9276411297613696
4,0.5021672530390617,1.002169836177369,0.29818715353657455
6,0.905056751548591,0.5418726719466012,0.0717208350769516
8,0.964654918553649,0.16615003900538827,0.04425949174170629
10,0.7282383513378075,0.05659914343133732,0.046648894675118235
12,0.49928188755082337,0.026647654768731766,0.0639636707428588
14,0.33997974819567833,0.02903705770214371,0.10117636118473028
16,0.24286408042859353,0.028936315308194516,0.17072477694600696
18,0.18803955301374708,0.031323135103299204,0.2974922893321552
20,0.16306318872925063,0.05361303554914887,0.5113244783352187
22,0.17042771604077211,0.1281391588268419,0.8246591549004716
24,0.23003104932244245,0.4315235866358753,0.983762392606025
26,0.426447719863817,0.9936118989682945,0.41649747110759794
28,0.834309759613149,0.6552052820012091,0.0880385197584248
30,0.9884404560788993,0.2073433455774092,0.04565180328885132
32,0.7818694688551018,0.06296657935659189,0.045553644033208496
34,0.5404751941228438,0.028039966315876796,0.05789329572283952
36,0.3687352438224245,0.022964099543817618,0.09013086178660146
38,0.25918434824837355,0.02037837809912002,0.1522191741190202
40,0.19440698893900166,0.025255343221586735,0.26406131337084027
42,0.16445808341470203,0.04256753615102005,0.4579904217231596
44,0.1668449032098076,0.09719316191627536,0.7588847042048323
46,0.21152286335714976,0.32843828624272176,0.9975925150984439
48,0.3681411220119548,0.9178897826547434,0.5571932652418075
50,0.7461498323543241,0.768537892055817,0.11181889100706233
52,0.9972928710549023,0.2684397328001742,0.04704411483599591
54,0.830528045132592,0.07430913965995511,0.0419708312022431
56,0.5841586460222254,0.021969591295856628,0.0518229207028198
58,0.3950031772601168,0.01689630766210426,0.0815729245775274
