Year,Hare,Lynx
1845,45.4118,30.0884
1846,45.4118,30.0884
1847,45.4118,30.0884
1848,45.4118,30.0884
1849,45.4118,30.0884
1850,45.4118,30.0884
1851,45.4118,30.0884
1852,45.4118,30.0884
1853,45.4118,30.0884
1854,45.4118,30.0884
1855,45.4118,30.0884
1856,45.4118,30.0884
1857,45.4118,30.0884
1858,45.4118,30.0884
1859,45.4118,30.0884
1860,45.4118,30.0884
1861,45.4118,30.0884
1862,45.4118,30.0884
1863,45.4118,30.0884
1864,45.4118,30.0884
1865,45.4118,30.0884
1866,45.4118,30.0884
1867,45.4118,30.0884
1868,45.4118,30.0884
1869,45.4118,30.0884
1870,45.4118,30.0884
1871,45.4118,30.0884
1872,45.4118,30.0884
1873,45.4118,30.0884
1874,45.4118,30.0884
1875,45.4118,30.0884
1876,45.4118,30.0884
1877,45.4118,30.0884
1878,45.4118,30.0884
1879,45.4118,30.0884
1880,45.4118,30.0884
1881,45.4118,30.0884
1882,45.4118,30.0884
1883,45.4118,30.0884
1884,45.4118,30.0884
1885,45.4118,30.0884
1886,45.4118,30.0884
1887,45.4118,30.0884
1888,45.4118,30.0884
1889,45.4118,30.0884
1890,45.4118,30.0884
1891,45.4118,30.0884
1892,45.4118,30.0884
1893,45.4118,30.0884
1894,45.4118,30.0884
1895,45.4118,30.0884
1896,45.4118,30.0884
1897,45.4118,30.0884
1898,45.4118,30.0884
1899,45.4118,30.0884
1900,45.4118,30.0884
1901,45.4118,30.0884
1902,45.4118,30.0884
1903,45.4118,30.0884
1904,45.4118,30.0884
1905,45.4118,30.0884
1906,45.4118,30.0884
1907,45.4118,30.0884
1908,45.4118,30.0884
1909,45.4118,30.0884
1910,45.4118,30.0884
1911,45.4118,30.0884
1912,45.4118,30.0884
1913,45.4118,30.0884
1914,45.4118,30.0884
1915,45.4118,30.0884
1916,45.4118,30.0884
1917,45.4118,30.0884
1918,45.4118,30.0884
1919,45.4118,30.0884
1920,45.4118,30.0884
1921,45.4118,30.0884
1922,45.4118,30.0884
1923,45.4118,30.0884
1924,45.4118,30.0884
1925,45.4118,30.0884
1926,45.4118,30.0884
1927,45.4118,30.0884
1928,45.4118,30.0884
1929,45.4118,30.0884
1930,45.4118,30.0884
1931,45.4118,30.0884
1932,45.4118,30.0884
1933,45.4118,30.0884
1934,45.4118,30.0884
1935,45.4118,30.0884
